customer_id_card_number,customer_first_name,customer_last_name,customer_age,customer_address,customer_email,customer_status
1,Scott,Cooper,70,"1047 Allen Rapid Suite 747
New Austinland, ID 38266",woodskristin@example.org,Active
2,Jeremy,Cruz,41,"4606 Gonzalez Well
Jamesstad, PR 24258",diana26@example.net,Inactive
3,Sean,Anthony,79,"7524 Thomas Isle Apt. 428
Aaronborough, ID 87985",nathanlarsen@example.org,Inactive
4,Michael,Charles,78,"1780 Sanchez Skyway
Brittanyton, SD 30324",stephenadams@example.org,Inactive
5,Jesus,Ballard,42,"80850 Kayla Ways Apt. 688
Greenstad, MI 37573",cgregory@example.org,Inactive
6,Christine,Martin,39,"01665 Erika Light
Moorefurt, CO 17492",andrewanderson@example.com,Active
7,Meagan,Rhodes,41,"1035 Jessica Neck Suite 628
Brianberg, NE 85465",wrightjulie@example.com,Inactive
8,Natasha,Taylor,38,"09532 Joseph Station Apt. 389
West Veronica, NV 67990",joshua59@example.net,Active
9,Karen,Rogers,34,"3192 Munoz Lane Suite 972
West Monicafurt, DE 73681",kgutierrez@example.org,Active
10,Darren,Fields,40,"0343 Garrett Brook Apt. 992
East Davidport, TN 81534",kentadams@example.net,Active
11,John,Andrews,35,"76745 Cindy Ville
Lake Theresa, VA 07518",glenndavid@example.com,Active
12,Joe,Tate,83,"Unit 9013 Box 4153
DPO AP 81876",gilbertkathleen@example.org,Inactive
13,Laura,Anderson,45,"PSC 2376, Box 0771
APO AP 75075",umccormick@example.net,Active
14,Timothy,Stevenson,26,"3098 Garcia Lakes
Nelsontown, DE 73894",ramoschad@example.com,Active
15,Kenneth,Schwartz,18,"7671 Tamara Ferry Suite 498
Davidtown, NM 70805",victorrobinson@example.com,Active
16,Joseph,Carlson,94,"5281 Jennifer Vista
Port Karen, CA 22265",myerstyler@example.com,Active
17,Gregory,James,70,"39966 Justin Stream
Reevesstad, CO 74537",kristopher28@example.com,Inactive
18,Frank,Martinez,50,"5252 Nicholas Center Suite 062
East Jeremy, VT 84671",meghanlee@example.org,Inactive
19,Katie,Romero,20,"12500 Joshua Mill
Jasonmouth, HI 96209",diana42@example.net,Active
20,Bethany,Brown,63,"9410 Rice Landing Apt. 955
Lauraside, CO 77799",amurray@example.com,Active
21,Benjamin,Garcia,95,"0422 Stephen Way
East Melissa, SD 39300",fhayes@example.net,Inactive
22,Melissa,Bishop,72,"53762 West Courts Suite 987
East Johnshire, WV 13866",matthewstafford@example.com,Active
23,Wendy,Thomas,85,"39841 Long Lake
Port Dawn, OR 07183",amanda24@example.com,Inactive
24,Megan,Mason,32,"64168 Robert Locks
West Derrick, AK 19284",lalvarez@example.net,Inactive
25,Kevin,Wilson,30,"2417 Jill Brooks Suite 746
Lawrenceville, ND 17247",dominic42@example.org,Active
26,John,Miller,95,"525 Keller Expressway Suite 227
Robertstown, MS 53281",bwatts@example.org,Active
27,Debbie,Martin,20,"839 Dustin Meadows Apt. 352
Lake Lynn, DE 40629",mstone@example.org,Active
28,Jason,Kirby,31,"56703 Martha Mews Apt. 177
Longville, MH 24334",jeffreysullivan@example.org,Active
29,Jennifer,Norris,18,"2604 Jennifer Road
Alberthaven, IA 71758",zgordon@example.net,Active
30,Jason,Harrison,72,"PSC 9861, Box 2158
APO AA 13055",tamara18@example.org,Active
31,Lisa,Griffin,58,"0763 Morris Row
East Eddie, MO 94573",hollowaykenneth@example.org,Inactive
32,Darren,Morrison,68,"72607 Patel Harbor Suite 711
Priceland, CO 52313",cervantespaula@example.com,Active
33,Paula,Hamilton,26,"60290 Jennings Flats Apt. 510
North Alexandra, NE 50505",jonesgarrett@example.org,Inactive
34,Jessica,Cobb,64,"0981 Jason Plaza Suite 764
East Kayla, TN 96405",scoleman@example.net,Inactive
35,Kevin,Bautista,27,"383 Joseph Junction
New Julieview, TX 16201",margaretduarte@example.com,Active
36,Latoya,Stanley,68,"28552 Angela Mall
New Kimberlymouth, KY 64733",clane@example.com,Inactive
37,Natasha,Russell,85,"22793 Amber Corner
Watsontown, FL 04630",cynthia57@example.com,Inactive
